head	head_label	relation	tail	tail_label	doc_id	title	sentence	created_at
ഉഷ്ണമേഖലാ	CONDITION	affects	കരിമ്പ്	CROP	5	Crop Classification Based on Climatic Conditions	ഉഷ്ണമേഖലാവിളകളിൽ തെങ്ങും കരിമ്പ് ഉൾപ്പെടുന്നു	2026-05-18T13:31:38.701925
വിളവെടുപ്പ്	PRACTICE	applied_to	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
ഫോസ്ഫറസ്	FERTILIZER	used_for	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
കാൽസ്യം	FERTILIZER	used_for	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
ഇരുമ്പ്	FERTILIZER	used_for	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്	2026-05-18T13:31:38.715000
ജലസേചനം	PRACTICE	applied_to	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	കാലാവസ്ഥ, മണ്ണ്, വിത്ത് തിരഞ്ഞെടുക്കൽ, നടീൽ രീതി, ജലസേചനം, വളം പ്രയോഗം, കീടാക്രമണ നിയന്ത്രണം, വിളവെടുപ്പ് എന്നിവയാണ് വഴുതന കൃഷി ചെയ്യുമ്പോൾ നാം പ്രധാനമായും ശ്രദ്ധിക്കേണ്ടത്	2026-05-18T13:31:38.715999
നടീൽ	PRACTICE	applied_to	വഴുതന	CROP	8	വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും	കാലാവസ്ഥ, മണ്ണ്, വിത്ത് തിരഞ്ഞെടുക്കൽ, നടീൽ രീതി, ജലസേചനം, വളം പ്രയോഗം, കീടാക്രമണ നിയന്ത്രണം, വിളവെടുപ്പ് എന്നിവയാണ് വഴുതന കൃഷി ചെയ്യുമ്പോൾ നാം പ്രധാനമായും ശ്രദ്ധിക്കേണ്ടത്	2026-05-18T13:31:38.715999
വളപ്രയോഗം	PRACTICE	applied_to	നാരകം	CROP	12	ഇനി നാരങ്ങ കടയിൽ നിന്നും വാങ്ങണ്ട; വീട്ടിൽ തന്നെ നട്ടുവളർത്താം എളുപ്പത്തിൽ	ഇത് വരെ കായ്ക്കാത്ത നാരകം ആണ് എങ്കിൽ 18-18 അല്ലെങ്കിൽ 19-19 വളപ്രയോഗം നടത്തുക	2026-05-18T13:31:38.789979
സൂര്യപ്രകാശം	CONDITION	affects	ഇഞ്ചി	CROP	14	ഒരു കഷ്ണം ഇഞ്ചി മതി, ഇനി 365 ദിവസവും വിളവെടുക്കാം	സൂര്യപ്രകാശം നന്നായി ലഭിക്കുന്ന ഇടങ്ങളിലാണ് ഇഞ്ചി നന്നായി വിളയുക	2026-05-18T13:31:38.828681
സൂര്യപ്രകാശം	CONDITION	affects	നാരകം	CROP	15	വീട്ടുമുറ്റത്തെ ചെറുനാരകം കായ്ക്കുന്നില്ല? വിഷമിക്കേണ്ട വഴിയുണ്ട്	ധാരാളം സൂര്യപ്രകാശം ആവശ്യമുള്ള ഒരു ചെടിയാണ് നാരകം	2026-05-18T13:31:38.843906
