head	head_label	head_source	relation	tail	tail_label	tail_source	confidence	sentence	seen_count	doc_id	doc_label
അടിമാലി	DISEASE	ner	affects	കൊക്കോ	CROP	dict	0.85	അടിമാലി: ഹൈറേഞ്ചിലെ കാർഷികമേഖലയെ, പ്രത്യേകിച്ച് കൊക്കോ കൃഷിയെ, തുടർച്ചയായ മഴ പ്രതികൂലമായി ബാധിച്ചു	1	25	CROPS
ചാഴി	PEST	dict	affects	കാന്താരി	CROP	dict	0.85	\n*   **ചാഴി ആക്രമണം (കതിരാകുമ്പോൾ):** കാന്താരി ഗോമൂത്ര മിശ്രിതം, വേപ്പെണ്ണ, വേപ്പിൻകുരു സത്ത് എന്നിവ ഉപയോഗിച്ച് ജൈവനിയന്ത്രണം നടത്താം	1	28	AGRI_PRACTICES
ഹൃദ്രോഗം	DISEASE	regex	affects	കറുവപ്പട്ട	CROP	dict	0.85	\n\nഅതിസാരം, ഛർദി, വാതകഫ രോഗങ്ങൾ, വയറുവീർക്കൽ, ചുമ, ശ്വാസംമുട്ട്, ആസ്ത്മ, തൊണ്ടവീക്കം, വിശപ്പില്ലായ്മ, ജലദോഷം, ഹൃദ്രോഗം, മാനസികപിരിമുറുക്കം, പല്ലുവേദന, തലവേദന, ദേഹം ചൊറിച്ചിൽ, അരുചി, മൂത്രാശയരോഗങ്ങൾ, 	1	95	CROPS
കൃമിരോഗം	DISEASE	regex	affects	കറുവപ്പട്ട	CROP	dict	0.85	\n\nഅതിസാരം, ഛർദി, വാതകഫ രോഗങ്ങൾ, വയറുവീർക്കൽ, ചുമ, ശ്വാസംമുട്ട്, ആസ്ത്മ, തൊണ്ടവീക്കം, വിശപ്പില്ലായ്മ, ജലദോഷം, ഹൃദ്രോഗം, മാനസികപിരിമുറുക്കം, പല്ലുവേദന, തലവേദന, ദേഹം ചൊറിച്ചിൽ, അരുചി, മൂത്രാശയരോഗങ്ങൾ, 	1	95	CROPS
വെള്ളീച്ച	PEST	dict	affects	കാന്താരി	CROP	dict	0.85	പച്ചമുളകിനെ ആക്രമിക്കുന്ന വെള്ളീച്ച, മണ്ഡരികൾ, ഇലപ്പേനുകൾ, ശൽക്കകീടങ്ങൾ തുടങ്ങിയവ കാന്താരിയെയും ബാധിക്കാറുണ്ട്	2	119	CROPS
മണ്ഡരി	PEST	dict	affects	കാന്താരി	CROP	dict	0.85	പച്ചമുളകിനെ ആക്രമിക്കുന്ന വെള്ളീച്ച, മണ്ഡരികൾ, ഇലപ്പേനുകൾ, ശൽക്കകീടങ്ങൾ തുടങ്ങിയവ കാന്താരിയെയും ബാധിക്കാറുണ്ട്	2	119	CROPS
ഇലപ്പേനുകൾ	DISEASE	dict	affects	കാന്താരി	CROP	dict	0.85	പച്ചമുളകിനെ ആക്രമിക്കുന്ന വെള്ളീച്ച, മണ്ഡരികൾ, ഇലപ്പേനുകൾ, ശൽക്കകീടങ്ങൾ തുടങ്ങിയവ കാന്താരിയെയും ബാധിക്കാറുണ്ട്	2	119	CROPS
കാന്താരി	CROP	dict	affects	വെള്ളീച്ച	PEST	dict	0.85	\n\nകീടനിയന്ത്രണം: കാന്താരിയെ ആക്രമിക്കുന്ന വെള്ളീച്ചകളെ മഞ്ഞക്കെണികൾ ഉപയോഗിച്ച് നിയന്ത്രിക്കാം	2	119	CROPS
ചാഴി	PEST	dict	affects	പയർ	CROP	dict	0.85	മുഞ്ഞ, ചാഴി, കായ് തുരപ്പൻ, ചിത്രകീടം, പയർ വണ്ട് തുടങ്ങിയ കീടങ്ങൾ അമരയെയും ആക്രമിക്കാറുണ്ട്	2	188	CROPS
ചാഴി	PEST	dict	affects	അമര	CROP	dict	0.85	മുഞ്ഞ, ചാഴി, കായ് തുരപ്പൻ, ചിത്രകീടം, പയർ വണ്ട് തുടങ്ങിയ കീടങ്ങൾ അമരയെയും ആക്രമിക്കാറുണ്ട്	2	188	CROPS
കായ് തുരപ്പൻ	PEST	dict	affects	പയർ	CROP	dict	0.85	മുഞ്ഞ, ചാഴി, കായ് തുരപ്പൻ, ചിത്രകീടം, പയർ വണ്ട് തുടങ്ങിയ കീടങ്ങൾ അമരയെയും ആക്രമിക്കാറുണ്ട്	2	188	CROPS
കായ് തുരപ്പൻ	PEST	dict	affects	അമര	CROP	dict	0.85	മുഞ്ഞ, ചാഴി, കായ് തുരപ്പൻ, ചിത്രകീടം, പയർ വണ്ട് തുടങ്ങിയ കീടങ്ങൾ അമരയെയും ആക്രമിക്കാറുണ്ട്	2	188	CROPS
